,Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
0,01-01-2025,1,10884.3,24080.75,9377.4,9377.4,2298.99,2298.23
1,01-01-2025,2,11271.95,25808.1,10036.7,10036.7,2143.84,2143.93
2,01-01-2025,3,10938.28,26751.1,9904.27,9904.28,2087.43,2087.45
3,01-01-2025,4,10880.93,26997.3,9824.4,9824.4,2077.55,2077.55
4,01-01-2025,5,11007.15,25871.28,9865.5,9865.5,2128.01,2128.02
5,01-01-2025,6,10360.48,21030.28,8921.9,8921.9,2627.78,2626.97
6,01-01-2025,7,10982.1,16521.3,8770.15,8770.15,3149.03,3148.07
7,01-01-2025,8,13909.53,14032.93,9297.66,9297.66,4235.97,4259.4
8,01-01-2025,9,16165.35,12003.83,10581.75,10581.75,7539.6,7605.0
9,01-01-2025,10,16418.85,10779.28,9980.8,9980.8,7848.96,7959.84
10,01-01-2025,11,13953.45,11017.0,7974.07,7974.07,4337.64,4370.97
11,01-01-2025,12,13614.93,12806.0,7205.23,7205.23,3645.68,3644.78
12,01-01-2025,13,11216.93,16152.88,7818.35,7818.35,3107.25,3105.23
13,01-01-2025,14,10417.75,19782.93,8057.48,8057.48,2607.33,2625.03
14,01-01-2025,15,12404.75,20546.35,10353.55,10353.55,2991.67,2992.07
15,01-01-2025,16,13655.05,18951.88,10464.45,10464.45,3092.08,3103.88
16,01-01-2025,17,12793.43,15342.68,9164.8,9164.8,3351.89,3346.62
17,01-01-2025,18,11246.6,8765.98,6337.7,6337.7,5319.35,5230.16
18,01-01-2025,19,13300.53,7819.58,7561.73,7561.73,9753.9,9766.8
19,01-01-2025,20,9285.98,9039.35,5934.8,5934.8,3684.44,3708.96
20,01-01-2025,21,8003.58,10295.48,5126.75,5126.75,3256.77,3257.17
21,01-01-2025,22,7960.3,13373.53,6010.18,6010.18,3039.97,3040.01
22,01-01-2025,23,7947.98,16821.15,6554.77,6554.77,2575.6,2572.15
23,01-01-2025,24,9615.75,19869.85,8372.15,8372.15,2490.06,2490.78
24,02-01-2025,1,11462.08,31414.2,10004.23,10004.23,2178.9,2178.04
25,02-01-2025,2,11833.93,33089.58,10401.51,10401.51,2116.37,2116.4
26,02-01-2025,3,11530.28,33825.45,10427.78,10427.78,2044.38,2044.4
27,02-01-2025,4,11495.3,34245.65,10364.25,10364.25,2033.82,2033.84
28,02-01-2025,5,11422.55,32472.13,10183.6,10183.6,2089.1,2088.72
29,02-01-2025,6,11461.93,26579.83,9590.4,9590.4,2779.05,2776.05
30,02-01-2025,7,12862.85,19056.75,9900.63,9900.63,3388.57,3390.25
31,02-01-2025,8,16554.65,15046.23,11088.8,11088.8,4597.56,4624.24
32,02-01-2025,9,19082.05,12839.88,11185.85,11185.85,6295.23,6295.61
33,02-01-2025,10,18721.8,12734.1,11006.18,11006.18,5500.26,5503.47
34,02-01-2025,11,16372.13,13859.63,10317.98,10317.98,4691.61,4697.65
35,02-01-2025,12,14867.3,17680.0,9262.78,9262.78,3627.97,3627.83
36,02-01-2025,13,13103.0,21895.18,9271.35,9271.35,3243.98,3243.01
37,02-01-2025,14,11926.03,27053.13,9080.47,9080.47,2785.56,2787.35
38,02-01-2025,15,14291.4,27356.05,11343.15,11343.15,3055.33,3055.75
39,02-01-2025,16,16224.83,23505.43,12363.6,12363.6,3409.26,3414.52
